sample,lon,lat,independent_distance_m,returned_distance_m,plain_ground_m,plain_base_m,plain_plane_m,plain_difference_m,decoded_difference_m,plain_height_m,he_height_m,abs_error_m,near_zero
0,0.00071945629097963041,0.00071945629097963041,0,0,100,100,100,0,-3.7278374006562536e-13,0,0,0,1
1,0.00080938832735917424,0.00071945629097963041,10.000000000000002,10.000000000000002,100,100,100,0,-1.6833866556187748e-13,0,0,0,1
2,0.00089932036373871808,0.00071945629097963041,20.000000000000004,20.000000000000004,100,100,100,0,4.0774212658756402e-13,0,4.0774212658756402e-13,4.0774212658756402e-13,1
3,0.0009892524001182618,0.00071945629097963041,29.999999999999993,29.999999999999993,100,100,100,0,2.7459697533722194e-13,0,2.7459697533722194e-13,2.7459697533722194e-13,1
4,0.0010791844364978057,0.00071945629097963041,40.000000000000007,40.000000000000007,100,100,100,0,2.4450361559805997e-13,0,2.4450361559805997e-13,2.4450361559805997e-13,1
5,0.0011691164728773497,0.00071945629097963041,50.000000000000021,50.000000000000021,100,100,100,0,3.1987322134826231e-14,0,3.1987322134826231e-14,3.1987322134826231e-14,1
6,0.0012590485092568934,0.00071945629097963041,60.000000000000014,60.000000000000007,100,100,100,0,-1.0185069590215067e-14,0,0,0,1
7,0.0013489805456364371,0.00071945629097963041,70,70,100,100,100,0,4.0909958758071201e-13,0,4.0909958758071201e-13,4.0909958758071201e-13,1
8,0.0014389125820159811,0.00071945629097963041,80.000000000000014,80.000000000000014,100,100,100,0,-2.5750473360991526e-13,0,0,0,1
9,0.0015288446183955248,0.00071945629097963041,90,90,100,100,100,0,-1.0818684038286023e-13,0,0,0,1
