target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,0.00071945629097963041,0.00071945629097963041,24.999999998029093,112.8,112.8,112.8,0,2.1600499168809949e-13,2.1600499168809949e-13,0
1,quadrature,0.00080938832735208432,0.00071945629097963041,49.999999996058186,114.00000000000001,122.79999999921162,105.20000000078838,0.39999999999999147,0.39999999999959202,3.9945824426013132e-13,0
2,quadrature,0.00080938832735208432,0.00080938832735208432,99.999999992116372,114.39999999999999,126.94213562317348,101.85786437682651,1.4210854715202004e-14,1.8598456109986857e-13,1.7177370638466656e-13,0
3,quadrature,0.00071945629097963041,0.00080938832735208432,49.999999996058186,113.19999999999999,122.8,103.59999999999999,1.2000000000000171,1.2000000000004267,4.0967229608668276e-13,0
4,quadrature,0.00089932036372453812,0.00071945629097963041,24.999999998029093,115.2,115.2,115.2,0,-1.0004441720290924e-13,1.0004441720290924e-13,0
5,quadrature,0.00089932036372453812,0.00080938832735208432,49.999999996058186,115.59999999999999,125.2,106,-1.1999999999999886,-1.2000000000004361,4.4741987892393809e-13,0
6,quadrature,0.00080938832735208432,0.00089932036372453812,49.999999996058186,114.8,123.59999999921162,106.00000000078838,-0.39999999999999147,-0.39999999999991992,7.1553873937091339e-14,0
7,quadrature,0.00071945629097963041,0.00089932036372453812,24.999999998029093,113.59999999999999,113.59999999999999,113.59999999999999,0,-3.0906013177901217e-13,3.0906013177901217e-13,0
8,quadrature,0.00089932036372453812,0.00089932036372453812,24.999999998029093,116,116,116,0,3.8653524828396753e-14,3.8653524828396753e-14,0
9,boundary_diagnostic,0.00071945629097963041,0.00071945629097963041,24.999999998029093,112.8,112.8,112.8,0,2.5011104300727307e-13,2.5011104300727307e-13,0
10,boundary_diagnostic,0.00089932036372453812,0.00071945629097963041,24.999999998029093,115.2,115.2,115.2,0,1.3642420527669442e-14,1.3642420527669442e-14,0
11,boundary_diagnostic,0.00089932036372453812,0.00089932036372453812,24.999999998029093,116,116,116,0,-4.2746250986697583e-13,4.2746250986697583e-13,0
12,boundary_diagnostic,0.00071945629097963041,0.00089932036372453812,24.999999998029093,113.59999999999999,113.59999999999999,113.59999999999999,0,3.1377567213639713e-13,3.1377567213639713e-13,0
