target,type,lon,lat,weight_m2,plain_ground_m,plain_upper_m,plain_lower_m,plain_delta_m,decoded_delta_m,abs_error_m,infeasible
0,quadrature,0.00071945629097963041,0.00071945629097963041,24.999999998029093,112.8,112.8,112.8,0,1.2846612663555391e-13,1.2846612663555391e-13,0
1,quadrature,0.00080938832735208432,0.00071945629097963041,49.999999996058186,114.00000000000001,118.57350269144109,109.42649730855891,0.39999999999999147,0.39999999999973829,2.5318636076576695e-13,0
2,quadrature,0.00080938832735208432,0.00080938832735208432,99.999999992116372,114.39999999999999,120.96496580895541,107.83503419104458,1.4210854715202004e-14,-1.9142021302886185e-13,2.0563106774406385e-13,0
3,quadrature,0.00071945629097963041,0.00080938832735208432,49.999999996058186,113.19999999999999,118.57350269189625,107.82649730810374,1.2000000000000171,1.2000000000003841,3.6703973194107675e-13,0
4,quadrature,0.00089932036372453812,0.00071945629097963041,24.999999998029093,115.2,115.2,115.2,0,3.5470293371940547e-13,3.5470293371940547e-13,0
5,quadrature,0.00089932036372453812,0.00080938832735208432,49.999999996058186,115.59999999999999,120.97350269189626,110.22649730810375,-1.1999999999999886,-1.2000000000001738,1.8518520050747611e-13,0
6,quadrature,0.00080938832735208432,0.00089932036372453812,49.999999996058186,114.8,119.37350269144109,110.2264973085589,-0.39999999999999147,-0.3999999999996357,3.5577096824113141e-13,0
7,quadrature,0.00071945629097963041,0.00089932036372453812,24.999999998029093,113.59999999999999,113.59999999999999,113.59999999999999,0,-5.6356493933997714e-13,5.6356493933997714e-13,0
8,quadrature,0.00089932036372453812,0.00089932036372453812,24.999999998029093,116,116,116,0,-2.9331204134489301e-13,2.9331204134489301e-13,0
9,boundary_diagnostic,0.00071945629097963041,0.00071945629097963041,24.999999998029093,112.8,112.8,112.8,0,2.9160673877893431e-13,2.9160673877893431e-13,0
10,boundary_diagnostic,0.00089932036372453812,0.00071945629097963041,24.999999998029093,115.2,115.2,115.2,0,2.0008883440581848e-13,2.0008883440581848e-13,0
11,boundary_diagnostic,0.00089932036372453812,0.00089932036372453812,24.999999998029093,116,116,116,0,-4.7066350820459572e-13,4.7066350820459572e-13,0
12,boundary_diagnostic,0.00071945629097963041,0.00089932036372453812,24.999999998029093,113.59999999999999,113.59999999999999,113.59999999999999,0,-1.1482370610788445e-13,1.1482370610788445e-13,0
